省份,性别,年龄,金额
四川,0,20,4
山西,1,20,4
四川,0,20,4.01
山东,1,20,5
重庆,1,20,5
海南,1,20,5
山东,1,20,5
湖南,1,20,5
山东,1,20,5
重庆,0,20,5
浙江,0,20,5.19
广西,0,20,6
广西,1,20,6
江西,1,20,7
福建,1,20,7
四川,0,20,7
广东,1,20,7
广东,1,20,8
上海,1,20,10
河北,0,20,10
四川,0,20,10
山东,1,20,10
安徽,1,20,10
山东,0,20,10
重庆,1,20,12
福建,1,20,12.1
河北,1,20,13
北京,1,20,15
福建,1,20,15
福建,1,20,18
山东,0,20,20
福建,1,20,21
广东,1,20,21
河南,1,20,33
广西,1,20,34
广东,1,20,34
河南,1,20,34
广东,1,20,64
广东,1,20,99
贵州,1,20,100
河南,1,20,100
湖北,0,20,100
浙江,0,20,100
广东,1,20,100
甘肃,1,20,100
湖北,0,20,100
安徽,1,20,100
湖南,1,20,100
四川,0,20,100
浙江,1,20,100
河南,1,20,100
福建,1,20,100
北京,1,20,100
广东,0,20,100
四川,0,20,100
江苏,0,20,100
四川,0,20,100
上海,1,20,100
湖南,0,20,100
山西,0,20,100
河南,0,20,100
湖北,1,20,100
福建,0,20,100
江苏,0,20,100
重庆,0,20,100
山东,1,20,100
广东,1,20,100
广东,1,20,100
浙江,0,20,100
广西,0,20,100
广东,1,20,100
河南,1,20,100
山东,0,20,100
湖南,1,20,100
山东,0,20,100
山西,1,20,100
广西,0,20,100
安徽,1,20,100
河北,0,20,100
河北,0,20,100
广东,0,20,100
浙江,0,20,100
浙江,0,20,100
辽宁,0,20,100
山东,1,20,100
山东,1,20,100
广西,0,20,100
安徽,1,20,100
福建,1,20,100
江西,1,20,100
四川,0,20,100
甘肃,0,20,100
湖南,1,20,100
黑龙江,0,20,100
广西,1,20,100
山西,0,20,100
安徽,0,20,100
广东,0,20,100
江苏,1,20,100
安徽,0,20,100
浙江,1,20,100
安徽,1,20,100
山东,0,20,100
广西,1,20,100
四川,1,20,100
广西,0,20,100
上海,0,20,100
北京,1,20,100
河北,0,20,100
广东,0,20,100
山西,1,20,100
辽宁,1,20,100
广东,1,20,100
河南,1,20,100
山西,1,20,100
湖北,1,20,100
江苏,0,20,100
广东,0,20,100
山东,0,20,100
江苏,1,20,100
河南,0,20,100
广东,0,20,100
湖南,0,20,100
河北,0,20,100
安徽,0,20,100
浙江,1,20,100
河南,1,20,100
广东,1,20,100
山东,1,20,100
山西,1,20,100
山东,0,20,100
广东,0,20,100
江苏,0,20,100
河南,1,20,101
河南,1,20,101
河南,0,20,101
福建,1,20,102
广东,1,20,103
福建,0,20,105
湖北,1,20,105
福建,1,20,106
福建,0,20,111
广东,0,20,121
湖北,0,20,132
北京,0,20,143
陕西,1,20,151
浙江,0,20,152
浙江,0,20,200
福建,1,20,200
吉林,0,20,200
浙江,1,20,200
福建,0,20,200
湖北,1,20,200
山西,0,20,200
山西,1,20,200
湖北,1,20,200
浙江,1,20,200.81
北京,1,20,201
山西,1,20,201.81
广东,1,20,207
北京,0,20,212
浙江,0,20,212
山东,1,20,231.48
浙江,0,20,248
贵州,1,20,300
上海,1,20,300
河南,1,20,300
陕西,1,20,300.44
四川,0,20,300.81
广东,0,20,300.81
山东,1,20,302
广东,1,20,310
贵州,1,20,400
江苏,0,20,400
广东,0,20,400
上海,0,20,500
山东,0,20,500
山东,0,20,500
湖南,1,20,500
黑龙江,0,20,500
广东,1,20,500
广东,1,20,500
广东,1,20,500
河南,1,20,500
四川,1,20,501
陕西,1,20,600
广东,1,20,600
广西,1,20,607.31
江苏,0,20,654
广东,1,20,701.81
江苏,1,20,703.01
浙江,0,20,800
浙江,1,20,850
广西,0,20,903.25
甘肃,1,20,1000
江西,1,20,1000
安徽,1,20,1000
江苏,1,20,1000
新疆,1,20,1000
四川,1,20,1000
广东,1,20,1000
广东,1,20,1000
山西,1,20,1000
江苏,0,20,1000
天津,1,20,1000
浙江,1,20,1001
山西,1,20,1001
黑龙江,1,20,1001
浙江,1,20,1001
广东,0,20,1005.07
四川,0,20,1011
安徽,1,20,1021
广东,1,20,1044
广东,0,20,1200
江苏,1,20,1340.24
江苏,0,20,1400
江苏,0,20,1408
福建,0,20,1600
广东,1,20,2000
江苏,1,20,2000
陕西,1,20,2000
辽宁,0,20,2000
辽宁,0,20,2000
广东,1,20,2000
福建,1,20,2000
陕西,1,20,2000
广西,0,20,2000
四川,1,20,2001
甘肃,1,20,2001
广东,1,20,2003
江西,1,20,2004
山西,1,20,2101.31
江苏,0,20,2488
河南,0,20,2500
江苏,0,20,2750
北京,1,20,2900
内蒙古,0,20,3000
四川,0,20,3000
福建,0,20,3000
四川,1,20,3002
湖南,0,20,3012
江苏,0,20,3078
广东,1,20,3107.4
江苏,0,20,3183.52
云南,1,20,3204.88
北京,0,20,3436
