,MOBILEAREA,性别,年龄,金额,谷歌地图经度,谷歌地图纬度
4069,辽宁 大连市,男,41,16000,121.6147485,38.913680299999996
15066,河南 开封市,男,29,16000,114.30729209999998,34.797261799999994
2740,辽宁 营口市,女,30,16000,122.23490490000002,40.66681872
33159,山西 太原市,男,28,16000,112.550693,37.87056527
15727,河北 邢台市,男,25,16000,114.5044406,37.07058787
32857,山西 晋城市,女,46,16000,112.85112959999998,35.49043104
35160,山东 济宁市,男,25,16000,116.58723559999999,35.41460672
36061,山东 枣庄市,男,35,16000,117.3219561,34.81063113
1516,陕西 渭南市,女,37,16000,109.5101915,34.49993923
1194,陕西 西安市,男,27,16000,108.9398472,34.34120165
38085,安徽 合肥市,女,28,16000,117.2290159,31.82052309
38412,安徽 六安市,女,39,16000,116.52324509999998,31.73490004
19663,江苏 无锡市,男,35,16000,120.31236940000001,31.49095473
37149,安徽 芜湖市,女,24,16000,118.4331335,31.35245062
50778,上海,女,35,16000,121.47369990000001,31.23039505
50777,上海,女,33,16000,121.47369990000001,31.23039505
50779,上海,女,27,16000,121.47369990000001,31.23039505
40482,四川 成都市,女,30,16000,104.064766,30.57016295
11408,浙江 绍兴市,男,29,16000,120.5802102,30.03027163
39262,四川 雅安市,女,41,16000,103.0398001,30.01539696
41423,四川 内江市,男,26,16000,105.05843940000001,29.58014681
2146,重庆,女,33,16000,106.55074450000001,29.56470494
41472,四川 乐山市,女,33,16000,103.7653765,29.55226462
11110,浙江 金华市,女,37,16000,119.64758059999998,29.07809702
17236,江西 新余市,男,26,16000,114.91710970000001,27.81778784
5248,福建 福州市,男,31,16000,119.29645990000002,26.07417345
22987,广西 河池市,男,34,16000,108.0853922,24.6929236
30379,广东 广州市,女,34,16000,113.26435,23.12906597
30381,广东 广州市,女,34,16000,113.26435,23.12906597
30380,广东 广州市,男,30,16000,113.26435,23.12906597
32342,广东 东莞市,男,23,16000,113.75180309999999,23.02066519
25102,广东 深圳市,男,26,16000,114.0595443,22.54283882
25103,广东 深圳市,女,26,16000,114.0595443,22.54283882
23002,广西 梧州市,男,36,15994,111.2790992,23.47710923
35161,山东 济宁市,男,29,15983,116.58723559999999,35.41460672
22670,新疆 伊犁哈萨克自治州,男,25,15939,81.32414755,43.91689567
34499,山东 烟台市,男,48,15934,121.4480162,37.46351347
38086,安徽 合肥市,女,27,15921,117.2290159,31.82052309
